"","PaperId","AuthorId","AffiliationId","AuthorSequenceNumber","OriginalAuthor"
"1","1506499313",115763571,4068193,1,"Tatjana Đurović"
"2","1506571096",270378964,4068193,3,"A. Sedmak"
"3","1506585895",1900635070,NA,1,"Branislav D. Janković"
"4","1506585895",2183055187,NA,2,"Katarina Isaković"
"5","1506585895",2710205206,NA,3,"Ljubodrag Mihailović"
"6","1506631785",2691517075,NA,2,"Violeta Leoreanu-Fotea"
"7","1507015225",1973552483,NA,1,"Vladan M Pelemis"
"8","1507015225",2687058866,NA,4,"Danica Džinović-Kojić"
"9","1507035827",732914986,4068193,6,"Zorana Jelic-Ivanovic"
"10","1507035827",1159317329,NA,3,"Nenad Dikic"
"11","1507035827",1998745796,4068193,1,"Ivana Baralic"
"12","1507035827",2302652288,4068193,4,"Jelena Kotur-Stevuljevic"
"13","1507035827",2309503453,4068193,5,"Slavica Spasic"
"14","1507035827",2464976664,4068193,2,"Brizita Djordjevic"
"15","1507035827",2579327751,170203145,9,"Snezana Pejic"
"16","1507035827",2701105282,NA,7,"Nenad Radivojevic"
"17","1507035827",2722160152,NA,8,"Marija Andjelkovic"
"18","1507044034",2142734031,NA,2,"D. Sijacki"
"19","1507056468",286942074,NA,1,"Irini S. Reljin"
"20","1507056468",2189212085,NA,2,"Branimir D. Reljin"
"21","1507060550",1976306370,4068193,1,"Zoran R. Petrović"
"22","1507060550",1991378874,4068193,2,"Vladimir M. Skulić"
"23","1507060550",2715650728,4068193,3,"Milenko Cvetinović"
"24","1507219611",257862290,4068193,1,"Mirjana Devedžić"
"25","1507219611",1811149645,4068193,2,"Vladan Devedžić"
"26","1507368940",1984642244,NA,1,"Sasa Dujko"
"27","1507422090",562842685,4068193,2,"Vesna Spasojevic-Kalimanovska"
"28","1507422090",732914986,4068193,8,"Zorana Jelic-Ivanovic"
"29","1507422090",767976161,4068193,7,"Violeta Dopsaj"
"30","1507422090",1979195721,4068193,3,"Natasa Bogavac Stanojevic"
"31","1507422090",1992151890,NA,1,"Lidija Memon"
"32","1507422090",2040705356,NA,5,"Sanja Simic-Ogrizovic"
"33","1507422090",2302652288,4068193,4,"Jelena Kotur-Stevuljevic"
"34","1507422090",2309503453,4068193,9,"Slavica Spasic"
"35","1507422090",2693738972,NA,6,"Vojislav Giga"
"36","1507548050",2031995227,NA,1,"Zoran Ognjanović"
"37","1507548050",2305085776,NA,3,"Nenad Mladenović"
"38","1507548050",2892722634,NA,2,"Uroš Midić"
"39","1507604664",2048206833,4068193,2,"Milka M. Potrebic"
"40","1507604664",2223080770,4068193,3,"Dejan Toic"
"41","1507604664",2243846376,4068193,1,"Sneana Stefanovski"
"42","1507604664",2419690494,4068193,4,"Zoran Stamenkovic"
"43","1507693516",2128591383,NA,1,"Laura Audí"
"44","1507802487",269391098,4068193,2,"Dragan I. Olcan"
"45","1507802487",1994852719,4068193,3,"Milan M. Ilic"
"46","1507802487",2024531998,4068193,1,"Antonije R. Dordevic"
"47","1507881423",2222988242,4068193,1,"Jelena Jovanović"
"48","1507883228",2403100888,4068193,2,"Dragan Milićev"
"49","1507890734",2687294567,NA,2,"Ljiljana Stanimirovic"
"50","1507894743",2070778618,NA,2,"Dejan Dodig"
"51","1507894743",2170018621,NA,3,"Vesna Hadži-Tašković Šukalović"
"52","1507894743",2199615239,NA,1,"Sla dana Žilić"
"53","1507894743",2285923990,1304155728,4,"Milan Maksimović"
"54","1507894743",2707363248,NA,5,"Goran Saratlić"
"55","1507951748",2672508607,861853513,2,"Sandro Bologna"
"56","1508269226",71075108,4068193,2,"Predrag Ivaniš"
"57","1508269226",2607561010,4068193,1,"Vesna Blagojević"
"58","1508310999",333779071,4068193,1,"Jelena D. Certic"
"59","1508310999",1975745748,4068193,3,"Miomir Mijic"
"60","1508310999",2076025542,4068193,2,"Dragana Sumarac Pavlovic"
"61","1508310999",2656260571,4068193,4,"Ljiljana D. Milic"
"62","1508352174",2067793832,NA,1,"Ilic Mirjana"
"63","1508354619",2155931588,4068193,2,"Nikola Majstorovic"
"64","1508354619",2687376968,4068193,1,"Nesic Goran"
"65","1508419491",2053832383,4068193,1,"Siniša Nešković"
"66","1508445434",2598279123,NA,1,"Dragoslava Djeric"
"67","1508493173",2082026153,4068193,1,"S. Prvanović"
